smi,id,qm,nmr,type
c12c([N]C=N[C]1N)[nH]cn2,0,32.57,151.71,C
c12c([N]C=N[C]1N)[nH]cn2,8,43.02,140.3,C
c12c([N]C=N[C]1N)[nH]cn2,1,64.87,119.07,C
c12c([C](N=C[N]1)N)cn[nH]2,2,25.19,157.99,C
c12c([C](N=C[N]1)N)cn[nH]2,0,27.71,155.81,C
c12c([C](N=C[N]1)N)cn[nH]2,4,23.94,154.78,C
c12c([C](N=C[N]1)N)cn[nH]2,7,49.7,132.53,C
c12c([C](N=C[N]1)N)cn[nH]2,1,83.51,99.59,C
c12c(c(=N)n(cn1)C)nc[nH]2,2,30.66,154.89,C
c12c(c(=N)n(cn1)C)nc[nH]2,5,32.44,150.85,C
c12c(c(=N)n(cn1)C)nc[nH]2,0,38.36,150.02,C
c12c(c(=N)n(cn1)C)nc[nH]2,1,59.92,118.54,C
c12c(c(=N)n(cn1)C)nc[nH]2,7,151.91,38.15,C
[CH]1N[N]C(=N1)N,0,38.98,147.53,C
c1nncn1N,0,34.97,144.1,C
c1n[nH]c(=O)[nH]1,3,29.77,155.37,C
c1n[nH]c(=O)[nH]1,0,46.42,135.65,C
c1cncc(n1)N,4,25.6,154.76,C
c1cncc(n1)N,0,37.72,141.99,C
c1cncc(n1)N,1,48.33,134.13,C
c1cncc(n1)N,3,48.92,132.69,C
c1cccc(n1)NN,4,17.61,161.46,C
c1cccc(n1)NN,0,32.06,147.57,C
c1cccc(n1)NN,2,42.59,137.41,C
c1cccc(n1)NN,1,69.73,114.05,C
c1cccc(n1)NN,3,77.79,106.97,C
c1(cc([nH]n1)C)N,0,26.61,154.02,C
c1(cc([nH]n1)C)N,2,39.91,141.73,C
c1(cc([nH]n1)C)N,1,92.5,92.07,C
c1(cc([nH]n1)C)N,5,176.19,11.4,C
c1(ccn(n1)C)N,0,25.86,154.39,C
c1(ccn(n1)C)N,2,50.35,131.24,C
c1(ccn(n1)C)N,1,93.48,92.75,C
c1(ccn(n1)C)N,5,148.23,38.37,C
c1(noc(n1)N)C,3,10,171.64,C
c1(noc(n1)N)C,0,9.79,166.82,C
c1(noc(n1)N)C,6,174.23,11.34,C
c1c(nc[nH]1)CCN,1,40.95,134.96,C
c1c(nc[nH]1)CCN,3,47.21,134.64,C
c1c(nc[nH]1)CCN,0,70.4,117.99,C
c1c(nc[nH]1)CCN,6,139.6,41.73,C
c1c(nc[nH]1)CCN,5,152.29,30.4,C
c1cc(ccc1)Br,1,50.07,131.5,C
c1cc(ccc1)Br,0,51.52,129.99,C
c1cc(ccc1)Br,5,51.52,126.82,C
c1cc(ccc1)Br,2,45.22,122.51,C
c1cccc(n1)Br,2,41.42,138.49,C
c1cccc(n1)Br,1,53.44,128.18,C
c1cccc(n1)Br,3,58.89,122.66,C
C(CC(C)C)Br,1,141.61,41.77,C
C(CC(C)C)Br,0,142.91,32.03,C
C(CC(C)C)Br,2,154.73,26.87,C
C(CC(C)C)Br,3,163.14,21.94,C
C(=CCBr)(C)C,0,40.46,139.93,C
C(=CCBr)(C)C,1,58.28,120.88,C
C(=CCBr)(C)C,2,145.53,29.56,C
C(=CCBr)(C)C,4,161.78,25.76,C
C(=CCBr)(C)C,5,168.45,17.51,C
C1CCC(C1)Br,3,125.12,53.51,C
C1CCC(C1)Br,2,145.88,37.91,C
C1CCC(C1)Br,1,163.32,23.28,C
c1ccc(c(c1)N)Br,4,35.6,144.01,C
c1ccc(c(c1)N)Br,2,49.07,132.42,C
c1ccc(c(c1)N)Br,0,52.87,128.24,C
c1ccc(c(c1)N)Br,1,65.52,119.23,C
c1ccc(c(c1)N)Br,5,67.71,115.7,C
c1ccc(c(c1)N)Br,3,63.73,109.17,C
C=CCCl,1,42.09,134.04,C
C=CCCl,0,61.63,118.49,C
C=CCCl,2,133.77,45.27,C
C=C(Cl)C,1,32.24,138.56,C
C=C(Cl)C,0,68.86,112.63,C
C=C(Cl)C,3,159.42,26.05,C
C(CCCC)Cl,0,134.95,45.1,C
C(CCCC)Cl,1,148.7,32.54,C
C(CCCC)Cl,2,154.07,29.21,C
C(CCCC)Cl,3,160.52,22.14,C
C(CCCC)Cl,4,172.32,13.96,C
c1cccc(n1)Cl,4,24.79,151.5,C
c1cccc(n1)Cl,0,30.66,149.77,C
c1cccc(n1)Cl,2,40.66,138.79,C
c1cccc(n1)Cl,3,56.65,124.45,C
c1cccc(n1)Cl,1,58.91,122.34,C
C1CCC(CC1)Cl,3,117.86,60.17,C
C1CCC(CC1)Cl,2,146.8,36.8,C
C1CCC(CC1)Cl,0,159.95,25.27,C
C1CCC(CC1)Cl,1,157.98,24.93,C
C=CC[N]C=S,0,61.13,117.49,C
C=CC[N]C=S,1,44.97,130.4,C
C=CC[N]C=S,2,138.39,47.12,C
C=CC[N]C=S,4,54.48,132.02,C
[C@H]1([C@H]([C@H]2CCCN2[C@@H]1CO)O)O,1,107.53,77.1,C
[C@H]1([C@H]([C@H]2CCCN2[C@@H]1CO)O)O,0,100.27,80.8,C
[C@H]1([C@H]([C@H]2CCCN2[C@@H]1CO)O)O,7,117.48,70.8,C
[C@H]1([C@H]([C@H]2CCCN2[C@@H]1CO)O)O,5,127.11,56.6,C
[C@H]1([C@H]([C@H]2CCCN2[C@@H]1CO)O)O,4,154.33,29.5,C
[C@H]1([C@H]([C@H]2CCCN2[C@@H]1CO)O)O,3,162.97,25.4,C
[C@H]1([C@H]([C@H]2CCCN2[C@@H]1CO)O)O,2,116.7,69.5,C
[C@H]1([C@H]([C@H]2CCCN2[C@@H]1CO)O)O,8,117.98,61.7,C
[C@H]1([C@@H]([C@H]2CCCN2[C@@H]1CO)O)O,1,105.71,79.4,C
[C@H]1([C@@H]([C@H]2CCCN2[C@@H]1CO)O)O,0,112.83,75.9,C
[C@H]1([C@@H]([C@H]2CCCN2[C@@H]1CO)O)O,7,114.76,71.3,C
[C@H]1([C@@H]([C@H]2CCCN2[C@@H]1CO)O)O,5,131.49,56.7,C
[C@H]1([C@@H]([C@H]2CCCN2[C@@H]1CO)O)O,4,162.79,26.9,C
[C@H]1([C@@H]([C@H]2CCCN2[C@@H]1CO)O)O,3,154.93,31.7,C
[C@H]1([C@@H]([C@H]2CCCN2[C@@H]1CO)O)O,2,117.53,69.9,C
[C@H]1([C@@H]([C@H]2CCCN2[C@@H]1CO)O)O,8,123.87,62.6,C
N(C)(C)C#N,1,146.28,40.53,C
N(C)(C)C#N,3,57.15,119.36,C
C1C(=O)O[C]1[CH2],1,12.21,165.18,C
C1C(=O)O[C]1[CH2],4,27.66,147.66,C
C1C(=O)O[C]1[CH2],0,141.64,42.4,C
C1C(=O)O[C]1[CH2],5,98.19,87.06,C
CC(C)(C)C=O,1,139.7,42.5,C
CC(C)(C)C=O,2,164.07,23.44,C
C=C(C=C)C,0,64.6,113.64,C
C=C(C=C)C,1,33.76,142.46,C
C=C(C=C)C,2,39.23,139.82,C
C=C(C=C)C,3,66.93,116.75,C
C=C(C=C)C,4,168.25,17.85,C
C(=O)(C#N)OCC,2,69.75,109.62,C
C(=O)(C#N)OCC,0,35.71,144.44,C
C(=O)(C#N)OCC,5,118.75,65.4,C
C(=O)(C#N)OCC,6,173.67,13.73,C
[C@H]12[C@@H]3C[C@@H]4[C@H]1[C@@H]4[C@H]23,1,171.72,14.71,C
[C@H]12[C@@H]3C[C@@H]4[C@H]1[C@@H]4[C@H]23,0,161.97,22.99,C
[C@H]12[C@@H]3C[C@@H]4[C@H]1[C@@H]4[C@H]23,2,152.69,31.98,C
NCCCOC(C)C,5,112.97,71.57,C
NCCCOC(C)C,3,119.09,66.1,C
NCCCOC(C)C,1,144.51,39.23,C
NCCCOC(C)C,2,145.7,32.48,C
NCCCOC(C)C,6,167.42,22.11,C
OCCN(CC)CC,1,122.15,58.81,C
OCCN(CC)CC,2,124.55,54.82,C
OCCN(CC)CC,4,135.87,47.02,C
OCCN(CC)CC,5,170.82,11.88,C
c1ccccc1Cl,4,42.36,134.33,C
c1ccccc1Cl,2,51.46,129.72,C
c1ccccc1Cl,3,52.83,128.63,C
c1ccccc1Cl,1,54.8,126.43,C
c1ccc(cn1)Br,4,29.72,150.95,C
c1ccc(cn1)Br,0,32.15,147.79,C
c1ccc(cn1)Br,2,41.15,138.52,C
c1ccc(cn1)Br,1,56.76,124.74,C
c1ccc(cn1)Br,3,46.9,120.89,C
CCCl,0,167.09,18.7,C
CCCl,1,138.37,39.9,C
