SMILES,site1,site2,BDE_DFT,Exptl.BDE,type
C(=C(c1ccccc1)\c2ccccc2)/C(/C=C(c3ccccc3)/c4ccccc4)c5ccccc5,14,14,66.03,75.1,C-H
CCF,1,1,95.93,98.2,C-H
CCF,0,0,100.35,103.6,C-H
CCl,0,0,96.93,100.1,C-H
FCF,1,1,98.38,103.2,C-H
C=CCl,1,1,105.8,103.6,C-H
CCCl,0,0,98.39,101.1,C-H
CCCl,1,1,94.7,97.2,C-H
C=C(F)F,0,0,114.84,110.2,C-H
F/C=C/F,1,1,111.91,110,C-H
FCCF,1,1,96.3,98.8,C-H
CC(F)F,0,0,102.27,103.5,C-H
CC(F)F,1,1,97.62,99.5,C-H
FC(F)F,1,1,103.28,106.4,C-H
C=CCCl,2,2,82.45,88.6,C-H
CCCCl,1,1,94.25,97.8,C-H
CCCCl,2,2,95.16,97.3,C-H
F/C=C(F)\F,1,1,114.47,111,C-H
ClCCl,1,1,93.41,95.7,C-H
FCC(F)F,1,1,98.67,102,C-H
FCC(F)F,2,2,99.11,103.5,C-H
CC(F)(F)F,0,0,103.15,106.7,C-H
FC(F)Cl,1,1,98.67,100.7,C-H
CBr,0,0,98.46,102.1,C-H
Cl/C=C/Cl,1,1,107.79,107,C-H
CC(Cl)Cl,1,1,92.25,95.1,C-H
F/C(F)=C/Cl,3,3,101.67,104.9,C-H
FC(Cl)Cl,1,1,94.71,98.2,C-H
FC(F)C(F)F,1,1,99.14,103,C-H
CCBr,1,1,96.15,94.2,C-H
CCBr,0,0,96.95,99.2,C-H
F/C(Cl)=C/Cl,3,3,108.93,108,C-H
ClC(Cl)Cl,1,1,90.67,93.8,C-H
FCC(F)(F)Cl,1,1,99.24,98.5,C-H
FC(F)(F)CCl,4,4,96.87,101.8,C-H
C=CCBr,2,2,83.99,89.4,C-H
FC(F)C(F)(F)F,1,1,100.32,102.7,C-H
ClCc1ccccc1,1,1,84.55,84.2,C-H
ClCBr,1,1,94.23,97,C-H
FC(F)Br,1,1,97.83,99.3,C-H
CI,0,0,99.16,103.5,C-H
FC(Cl)Br,1,1,94.38,98.6,C-H
Fc1ccc(F)c(F)c1F,2,2,113.32,115,C-H
ClC(Cl)Br,1,1,90.73,92.5,C-H
ClC(Cl)C(Cl)Cl,1,1,93.41,94,C-H
Fc1cc(F)c(F)c(F)c1F,2,2,115.97,116.5,C-H
FC(C(F)(F)F)C(F)(F)F,1,1,100.09,103.6,C-H
FC(F)C(F)(F)C(F)(F)F,1,1,99.75,103.3,C-H
CC(Br)Br,1,1,93.37,94.9,C-H
FC(F)(F)C(Cl)Br,4,4,93.52,96.6,C-H
ClC(Cl)C(Cl)(Cl)Cl,1,1,92.42,95.8,C-H
